model,sample,session,horizon,direction_cosine,execution_cosine,norm_ratio,full_mse,execution_mse,decoded_mse,endpoint_correct,reencoded_correct,continuity
B1_correct_language,128,29,4,0.8211256265640259,0.8439191579818726,0.7012798190116882,0.759971022605896,0.6154558062553406,0.043309297412633896,0,0,0.04200899600982666
D2_Wave24,35,10,1,0.9227775931358337,0.9415037035942078,0.8277634978294373,0.4118029773235321,0.43566077947616577,0.02439039945602417,1,0,0.0780736654996872
D2_Wave24,35,10,2,0.8786877393722534,0.9378785490989685,0.7478057146072388,0.7382074594497681,0.5197659730911255,0.01567108929157257,1,1,0.007841110229492188
D2_Wave24,35,10,4,0.8447871208190918,0.768263041973114,0.540869414806366,1.3130062818527222,1.0197668075561523,0.07499485462903976,0,0,0.22168099880218506
D2_Wave24,38,10,1,0.876584529876709,0.927288830280304,0.8102231025695801,0.43038100004196167,0.5393927097320557,0.04489133879542351,1,1,0.25752508640289307
D2_Wave24,38,10,2,0.8041032552719116,0.8137741088867188,0.8024942278862,0.7959157228469849,1.0966966152191162,0.06686621159315109,1,1,0.0943601131439209
D2_Wave24,38,10,4,0.9134722352027893,0.9425990581512451,0.8003612756729126,0.40327388048171997,0.45189324021339417,0.020176144316792488,0,0,0.010921895503997803
D2_Wave24,102,21,1,0.801611065864563,0.9353002905845642,0.646877646446228,1.101731538772583,0.776605486869812,0.08305042237043381,1,1,0.5612443685531616
D2_Wave24,102,21,2,0.8133877515792847,0.9086645245552063,0.8619918823242188,0.6651515364646912,0.5442513823509216,0.034016434103250504,1,1,0.025525212287902832
D2_Wave24,102,21,4,0.8159617781639099,0.7568418979644775,0.7098758816719055,0.9858448505401611,1.0679543018341064,0.05871230736374855,0,0,0.10325449705123901
D2_Wave24,108,25,1,0.5166407227516174,0.5502785444259644,0.748303234577179,0.5513591766357422,0.503808856010437,0.042021941393613815,1,1,0.2761911451816559
