sample,session,goal,horizon,mean_source_distance,mean_neighbor_displacement_cosine,D2_cosine
48,10,turn_off_lightbulb,2,7.134694576263428,0.3565821647644043,0.5459591150283813
49,10,turn_on_lightbulb,2,2.9954941272735596,0.5305546522140503,0.7392789125442505
50,10,push_pink_block_right,2,4.332320213317871,0.3024384379386902,0.5421950817108154
51,10,turn_on_lightbulb,2,2.9750161170959473,0.4088061451911926,0.5781888365745544
52,10,lift_blue_block_slider,2,3.4847843647003174,0.31643468141555786,0.7320365309715271
53,10,turn_off_lightbulb,2,6.375470161437988,0.49580225348472595,0.811305582523346
54,10,turn_on_lightbulb,2,3.0995185375213623,0.6152527928352356,0.9259229302406311
55,10,turn_off_lightbulb,2,3.4002578258514404,0.3577519953250885,0.5655556321144104
56,10,place_in_slider,2,3.7885241508483887,0.6408650875091553,0.8643788695335388
57,10,lift_red_block_table,2,4.786089897155762,0.3531917631626129,0.6130184531211853
58,10,place_in_slider,2,3.829663038253784,0.3428417444229126,0.7478771209716797
59,10,lift_red_block_table,2,4.57366418838501,0.0185248963534832,0.08750765770673752
60,10,turn_on_lightbulb,2,4.339343547821045,0.1905076950788498,0.5641055107116699
61,10,place_in_slider,2,4.163318634033203,0.5717058777809143,0.8168958425521851
62,20,turn_off_lightbulb,2,3.9723639488220215,0.5363444089889526,0.7976838946342468
63,20,push_pink_block_right,2,5.68890905380249,0.423222154378891,0.8014330863952637
64,20,lift_red_block_table,2,4.636343479156494,0.15392789244651794,0.41608476638793945
65,20,turn_on_lightbulb,2,4.933037757873535,0.4836219847202301,0.835224986076355
66,20,turn_off_lightbulb,2,5.535839080810547,0.5160465836524963,0.780475378036499
67,20,lift_red_block_table,2,4.282834053039551,-0.20076222717761993,-0.4506034553050995
68,20,place_in_slider,2,3.9125781059265137,0.5926907658576965,0.8159551024436951
69,20,push_pink_block_right,2,4.472760200500488,0.5386943221092224,0.8849672675132751
70,20,turn_off_lightbulb,2,3.5829849243164062,0.5897290110588074,0.8625736236572266
71,20,push_pink_block_right,2,5.138917446136475,0.3178756535053253,0.6954919099807739
72,20,place_in_slider,2,3.7778446674346924,0.5312360525131226,0.6185895204544067
73,21,lift_blue_block_slider,2,4.639946460723877,0.45004740357398987,0.8771904706954956
74,21,lift_red_block_table,2,4.034428596496582,0.45866698026657104,0.798039972782135
75,21,place_in_slider,2,3.3883328437805176,0.47242647409439087,0.8961847424507141
76,21,turn_on_lightbulb,2,2.7417283058166504,0.5335392951965332,0.7639363408088684
77,21,turn_off_lightbulb,2,4.054813385009766,0.46202412247657776,0.7264195084571838
78,21,turn_on_lightbulb,2,3.9268085956573486,0.2944827675819397,0.6970652937889099
79,21,push_pink_block_right,2,5.353358745574951,0.5910274386405945,0.8840887546539307
80,21,place_in_slider,2,3.0548622608184814,0.2780364751815796,0.4026796221733093
81,21,turn_on_lightbulb,2,3.6667213439941406,0.38332605361938477,0.5721380710601807
82,21,lift_blue_block_slider,2,4.311428546905518,0.3608950078487396,0.696596086025238
83,21,turn_off_lightbulb,2,4.508633613586426,0.48520153760910034,0.7493264079093933
84,21,push_pink_block_right,2,5.4371771812438965,0.441194623708725,0.7925182580947876
85,21,turn_off_lightbulb,2,4.094329833984375,0.49398407340049744,0.8088006377220154
86,21,push_pink_block_right,2,5.278273582458496,-0.0632031112909317,0.10160811990499496
87,21,place_in_slider,2,4.4325056076049805,0.6256513595581055,0.8712003231048584
88,21,lift_red_block_table,2,4.300070762634277,0.17888924479484558,0.5956692695617676
89,21,place_in_slider,2,3.5121188163757324,0.6732463836669922,0.9358401894569397
90,21,turn_off_lightbulb,2,3.5814807415008545,0.5566841959953308,0.8182241916656494
91,21,place_in_slider,2,3.871875762939453,0.43282943964004517,0.6603177189826965
92,21,turn_on_lightbulb,2,4.619962692260742,0.19474086165428162,0.7336641550064087
93,21,lift_blue_block_slider,2,4.714603900909424,0.26656264066696167,0.6358823776245117
94,21,push_pink_block_right,2,5.045737266540527,0.4701352119445801,0.8265509605407715
95,21,turn_on_lightbulb,2,2.9295856952667236,0.5201376676559448,0.7227884531021118
96,21,lift_blue_block_slider,2,4.075942039489746,0.3534505367279053,0.6741881370544434
