sample,session,goal,horizon,HorizonCoreGain,D2_full_cosine,D2_execution_cosine,D2_full_mse,goal_mean_full_mse,D2_execution_mse,goal_mean_execution_mse
7,3,lift_red_block_table,2,-1.1046957969665527,0.7361887097358704,0.7613492608070374,1.721872091293335,1.94681715965271,1.986722469329834,2.495936870574951
8,3,place_in_slider,2,-0.38103437423706055,0.7411376237869263,0.8473880290985107,1.946336269378662,2.1417930126190186,1.31050443649292,2.086965322494507
9,3,turn_on_lightbulb,2,-0.8975138664245605,0.7049750685691833,0.5876131057739258,0.8962063193321228,1.6615633964538574,0.6953612565994263,1.3831573724746704
10,3,lift_red_block_table,2,-0.6004948616027832,0.42482224106788635,0.3840785324573517,1.0482401847839355,1.1729117631912231,0.839459240436554,1.1837012767791748
11,3,place_in_slider,2,-1.305812120437622,0.5184012651443481,0.7582172155380249,0.843131422996521,1.523443341255188,0.4081866145133972,1.3619749546051025
12,3,turn_on_lightbulb,2,-1.1208961009979248,0.886378824710846,0.8305540680885315,0.694074273109436,2.1821913719177246,1.0321006774902344,2.044102191925049
13,3,turn_off_lightbulb,2,-0.4922373294830322,0.7686423063278198,0.7061393857002258,0.6136380434036255,1.134986162185669,0.7642196416854858,1.529209017753601
14,3,lift_blue_block_slider,2,-0.4843330383300781,0.531498372554779,0.7181370854377747,2.334240436553955,2.2598400115966797,1.6503533124923706,2.1827688217163086
15,3,lift_red_block_table,2,-3.049072265625,-0.06446157395839691,-0.3065330386161804,4.685250759124756,4.038985729217529,4.103360652923584,3.983786106109619
16,3,turn_off_lightbulb,2,-0.20903825759887695,0.8944409489631653,0.8556323051452637,1.9694271087646484,2.691416025161743,2.0681982040405273,3.1074318885803223
17,3,turn_on_lightbulb,2,-0.697516918182373,0.8138140439987183,0.7287895679473877,0.4710293412208557,0.9125989079475403,0.7033446431159973,0.9674035310745239
18,3,lift_red_block_table,2,-2.1828017234802246,0.7284421324729919,0.7284759879112244,1.6879398822784424,2.332610607147217,2.4531729221343994,3.078345775604248
19,3,turn_off_lightbulb,2,-0.24701952934265137,0.8490973711013794,0.6675955653190613,1.11431884765625,1.615654468536377,0.9119924306869507,1.3552374839782715
20,3,place_in_slider,2,-0.4472947120666504,0.7046211957931519,0.7029563188552856,0.8439925909042358,1.365288496017456,0.911429762840271,1.9124583005905151
21,3,turn_on_lightbulb,2,-0.9208056926727295,0.5394445061683655,0.3714289963245392,2.0673255920410156,2.956164836883545,1.1730051040649414,2.012840747833252
22,3,turn_off_lightbulb,2,-0.5223898887634277,0.41709214448928833,0.7013086676597595,1.864190936088562,3.179973840713501,1.2153891324996948,1.8606570959091187
23,3,turn_on_lightbulb,2,-1.9650864601135254,0.7440139651298523,0.7019029855728149,2.562358856201172,4.245903968811035,3.2977497577667236,4.4919281005859375
24,3,turn_off_lightbulb,2,-0.4927334785461426,0.9019845128059387,0.8891252875328064,0.5171473026275635,1.0598524808883667,0.66562819480896,1.5912377834320068
25,3,lift_blue_block_slider,2,-0.7059969902038574,0.7166589498519897,0.6176949143409729,1.7112913131713867,2.9536120891571045,2.322575330734253,3.558926820755005
26,3,turn_on_lightbulb,2,-0.7480883598327637,0.57069331407547,0.7977995872497559,1.1319224834442139,0.7901588678359985,0.8998070955276489,1.1900255680084229
27,3,place_in_slider,2,-0.46671271324157715,0.8963474035263062,0.8814113140106201,0.9918424487113953,2.2065768241882324,1.3783327341079712,2.900819778442383
28,3,turn_off_lightbulb,2,-0.2590494155883789,0.827099084854126,0.7515729665756226,0.8695732355117798,1.0296366214752197,1.0512783527374268,1.3185820579528809
29,3,turn_on_lightbulb,2,-0.9440262317657471,0.8110314011573792,0.608820378780365,1.0897585153579712,2.4102110862731934,0.9360671639442444,1.70295250415802
30,3,place_in_slider,2,-0.9363603591918945,0.5157864093780518,0.7548366189002991,1.22538423538208,1.0757882595062256,0.8227382302284241,0.9595814943313599
31,3,turn_off_lightbulb,2,-0.5477497577667236,0.7698870301246643,0.7928509712219238,2.8610756397247314,3.240656852722168,3.0717461109161377,4.545731067657471
32,3,place_in_slider,2,-0.5744655132293701,0.7081416845321655,0.7002797722816467,1.1745949983596802,1.1402668952941895,1.4055531024932861,1.4043910503387451
33,3,push_pink_block_right,2,-1.5405874252319336,0.7890587449073792,0.6445220112800598,1.4622997045516968,2.7379846572875977,2.501613140106201,4.144658088684082
34,3,place_in_slider,2,-0.4331035614013672,0.7860274314880371,0.8801038861274719,1.830263614654541,2.2450273036956787,1.1987204551696777,2.1937332153320312
35,10,place_in_slider,2,-0.4554462432861328,0.8786877393722534,0.9378785490989685,0.7382075190544128,1.3218121528625488,0.5197659730911255,1.8497886657714844
36,10,turn_off_lightbulb,2,-0.08673787117004395,0.8886268138885498,0.8400359153747559,0.3761441111564636,0.7112827301025391,0.5624407529830933,0.9979923963546753
37,10,lift_blue_block_slider,2,-1.0854222774505615,0.617796003818512,0.46663597226142883,1.2992820739746094,1.7493847608566284,1.148029088973999,1.679699420928955
38,10,place_in_slider,2,-0.7427244186401367,0.8041032552719116,0.8137741088867188,0.7959157228469849,1.334144115447998,1.0966964960098267,1.9439735412597656
39,10,lift_red_block_table,2,-0.6005525588989258,0.4911178648471832,0.316399484872818,1.3918423652648926,1.5294218063354492,1.524549126625061,1.7983146905899048
40,10,push_pink_block_right,2,-1.3966083526611328,0.36063602566719055,0.1718144714832306,2.3044049739837646,1.828153371810913,2.4870834350585938,2.3807191848754883
41,10,lift_red_block_table,2,-0.31676483154296875,0.8088366389274597,0.8877395391464233,0.6966610550880432,0.9752174019813538,0.9025121927261353,1.3991942405700684
42,10,place_in_slider,2,-0.4268014430999756,0.9205299019813538,0.9481169581413269,0.4321253299713135,1.4472507238388062,0.5380962491035461,2.353088140487671
43,10,turn_off_lightbulb,2,-0.17171788215637207,0.5954849123954773,0.6746834516525269,0.6719917058944702,0.6930055022239685,0.5505828857421875,0.6531679630279541
44,10,push_pink_block_right,2,-1.4317798614501953,0.4361152648925781,0.5233821272850037,1.5787482261657715,1.5335536003112793,2.090385913848877,1.9993960857391357
45,10,turn_off_lightbulb,2,-0.45128607749938965,0.7365221381187439,0.8091908097267151,0.9485138654708862,1.0534465312957764,1.054168462753296,1.4560714960098267
46,10,turn_on_lightbulb,2,-1.1129989624023438,0.37381720542907715,0.5715112090110779,2.0994367599487305,2.3096776008605957,2.7351322174072266,4.048138618469238
47,10,lift_red_block_table,2,-1.399352788925171,0.6378142237663269,0.8386801481246948,1.5759273767471313,1.8070201873779297,1.1176445484161377,2.2664778232574463
48,10,turn_off_lightbulb,2,-0.3319518566131592,0.5459591150283813,0.7024051547050476,4.619935989379883,4.081634998321533,2.7104883193969727,3.7800755500793457
49,10,turn_on_lightbulb,2,-0.6406517028808594,0.7392789125442505,0.8501124978065491,0.6234643459320068,0.6451077461242676,0.3535868525505066,0.5698211193084717
50,10,push_pink_block_right,2,-1.8392152786254883,0.5421950817108154,0.1970808357000351,1.1574738025665283,0.9423888921737671,1.7362887859344482,1.237454891204834
51,10,turn_on_lightbulb,2,-1.0729660987854004,0.5781888365745544,0.815540611743927,1.0003706216812134,0.6019128561019897,0.8073707222938538,0.9527258276939392
52,10,lift_blue_block_slider,2,-0.8183488845825195,0.7320365309715271,0.8047028183937073,0.9868232011795044,1.9630661010742188,0.9627074003219604,1.590324878692627
53,10,turn_off_lightbulb,2,-0.14675235748291016,0.811305582523346,0.7901111245155334,1.5008981227874756,1.849390983581543,1.588226318359375,2.3476953506469727
