sample,session,goal,horizon,target_distance,margin,region_rank,semantic_rank,semantic_top1,semantic_cosine_margin
51,8,turn_off_lightbulb,4,3.0657448768615723,0.44068217277526855,1,3,0,-0.08571648597717285
52,8,place_in_slider,0,5.363205432891846,-1.702700138092041,6,6,0,-0.8651440143585205
52,8,place_in_slider,1,2.5285983085632324,0.34844040870666504,1,1,1,0.3124217689037323
52,8,place_in_slider,2,3.3005104064941406,0.9864511489868164,1,1,1,0.15955910086631775
52,8,place_in_slider,4,5.612460136413574,-2.338000774383545,6,6,0,-0.4965745806694031
53,8,lift_red_block_table,0,3.908032178878784,0.21544957160949707,1,1,1,0.1858018934726715
53,8,lift_red_block_table,1,3.2514185905456543,0.43336963653564453,1,1,1,0.1133444607257843
53,8,lift_red_block_table,2,3.2254741191864014,0.014269590377807617,1,1,1,0.013740628957748413
53,8,lift_red_block_table,4,3.802398204803467,-0.6202640533447266,4,4,0,-0.03377574682235718
54,8,place_in_slider,0,6.439827919006348,-2.3249268531799316,6,6,0,-0.7905775308609009
54,8,place_in_slider,1,3.0781962871551514,0.5189712047576904,1,1,1,0.14413364231586456
54,8,place_in_slider,2,3.6815428733825684,0.21077728271484375,1,1,1,0.2735409736633301
54,8,place_in_slider,4,5.415735244750977,-2.0005698204040527,6,6,0,-0.5158604383468628
55,8,lift_blue_block_slider,0,5.541306495666504,-0.8396029472351074,5,4,0,-0.14938955008983612
55,8,lift_blue_block_slider,1,4.293818473815918,-0.4896731376647949,4,4,0,-0.09573042392730713
55,8,lift_blue_block_slider,2,3.3963730335235596,-0.27762317657470703,3,2,0,-0.0036245137453079224
55,8,lift_blue_block_slider,4,2.898406982421875,0.7101471424102783,1,1,1,0.07884222269058228
56,8,lift_red_block_table,0,6.808929443359375,-0.23325109481811523,3,1,1,0.12139567732810974
56,8,lift_red_block_table,1,4.790928840637207,-0.19374465942382812,2,1,1,0.03150305151939392
56,8,lift_red_block_table,2,4.282208442687988,-0.45320940017700195,2,2,0,-0.22680217027664185
56,8,lift_red_block_table,4,5.0011091232299805,-0.5647563934326172,3,1,1,0.0016362667083740234
57,8,place_in_slider,0,7.585005760192871,-3.737349510192871,6,6,0,-0.7255045175552368
57,8,place_in_slider,1,3.769827365875244,0.05745983123779297,1,1,1,0.06226128339767456
57,8,place_in_slider,2,2.883733034133911,0.6335303783416748,1,1,1,0.19341009855270386
57,8,place_in_slider,4,3.8712971210479736,0.8846948146820068,1,4,0,-0.12680870294570923
58,8,lift_blue_block_slider,0,4.086443901062012,0.18221426010131836,1,2,0,-0.16219475865364075
58,8,lift_blue_block_slider,1,2.7217538356781006,0.3060309886932373,1,1,1,0.1022953987121582
58,8,lift_blue_block_slider,2,2.8986551761627197,0.499758243560791,1,1,1,0.311637818813324
58,8,lift_blue_block_slider,4,3.5225048065185547,0.11114621162414551,1,1,1,0.06913036108016968
59,8,turn_off_lightbulb,0,5.518034934997559,-1.4816055297851562,6,4,0,-0.258918434381485
59,8,turn_off_lightbulb,1,3.6514499187469482,0.8291332721710205,1,2,0,-0.0018204599618911743
59,8,turn_off_lightbulb,2,3.8339340686798096,0.07397651672363281,1,2,0,-0.05080151557922363
59,8,turn_off_lightbulb,4,3.8810184001922607,-0.054886579513549805,2,1,1,0.03283777832984924
60,8,push_pink_block_right,0,6.950508117675781,-0.9097299575805664,6,6,0,-0.15729832649230957
60,8,push_pink_block_right,1,4.4129252433776855,-0.8052701950073242,5,1,1,0.08789309859275818
60,8,push_pink_block_right,2,3.3172855377197266,0.2468562126159668,1,1,1,0.21510452032089233
60,8,push_pink_block_right,4,3.236936569213867,-0.11337471008300781,2,1,1,0.1859385371208191
61,8,turn_on_lightbulb,0,3.6674461364746094,-1.4394762516021729,4,3,0,-0.2585398256778717
61,8,turn_on_lightbulb,1,4.255204200744629,-0.8119363784790039,3,2,0,-0.020594924688339233
61,8,turn_on_lightbulb,2,2.9894022941589355,0.1895890235900879,1,2,0,-0.013943269848823547
61,8,turn_on_lightbulb,4,2.478098154067993,0.3393566608428955,1,2,0,-0.0373602956533432
62,8,place_in_slider,0,4.956724643707275,-0.6959037780761719,2,3,0,-0.1636955738067627
62,8,place_in_slider,1,3.3539440631866455,0.05227208137512207,1,1,1,0.04394257068634033
62,8,place_in_slider,2,4.392621994018555,-0.3924717903137207,6,2,0,-0.010345593094825745
62,8,place_in_slider,4,5.248815059661865,-1.2036995887756348,6,6,0,-0.4119996130466461
63,8,turn_on_lightbulb,0,2.944453477859497,-0.00488734245300293,2,1,1,0.0536532998085022
