kind,sample,session,source_goal,target_goal,horizon,cycle_full,cycle_semantic,cycle_execution,ground_truth_cycle_full,target_distance,execution_target_distance,target_rank,endpoint_error,decoded_action_mse,future_latent_mse,execution_knn_radius,local_pca_normal_distance,trajectory_jump
observed,70,14,turn_off_lightbulb,turn_off_lightbulb,4,1.9543479681015015,1.3045893907546997,1.4551711082458496,0.25756582617759705,3.2974255084991455,2.4004335403442383,1,0,0.03973686695098877,0.6165408492088318,2.4004335403442383,1.5328456163406372,0.2582661509513855
observed,71,14,turn_on_lightbulb,turn_on_lightbulb,4,3.711879253387451,3.6558730602264404,0.6423704624176025,1.4082881212234497,3.8205628395080566,1.7306089401245117,2,1,0.028041331097483635,0.7302761673927307,1.7306089401245117,1.149060845375061,0.2378847301006317
observed,72,14,place_in_slider,place_in_slider,4,2.5118017196655273,2.4109954833984375,0.7044488787651062,0.4496648609638214,4.316829204559326,3.2408900260925293,4,1,0.02778240106999874,0.9850757122039795,3.2408900260925293,1.0673757791519165,0.14279793202877045
observed,73,14,lift_red_block_table,lift_red_block_table,4,3.660472869873047,2.2133169174194336,2.9155256748199463,1.3475580215454102,4.266664028167725,2.8598735332489014,3,1,0.06786870956420898,0.8776699304580688,2.8598735332489014,1.1424425840377808,0.20554523169994354
observed,74,14,place_in_slider,place_in_slider,4,3.154947280883789,2.5711829662323,1.82830810546875,0.7179620265960693,5.123807430267334,3.126643657684326,6,1,0.013794638216495514,0.8282897472381592,3.126643657684326,2.045942783355713,0.342582643032074
observed,75,14,turn_on_lightbulb,turn_on_lightbulb,4,2.8248326778411865,2.6863932609558105,0.8734819889068604,0.3370751142501831,2.5857834815979004,1.8572403192520142,1,0,0.008047685027122498,0.5184515714645386,1.8572403192520142,1.5339936017990112,0.12362774461507797
observed,76,14,place_in_slider,place_in_slider,4,2.669354200363159,2.580134868621826,0.6843649744987488,0.6993579864501953,4.208096504211426,3.097344160079956,1,0,0.03398449346423149,1.7082459926605225,3.097344160079956,0.8866068124771118,0.20714569091796875
observed,77,14,turn_off_lightbulb,turn_off_lightbulb,4,1.7250949144363403,1.23567533493042,1.2037686109542847,0.4021572470664978,4.244307041168213,2.6080079078674316,2,1,0.024266226217150688,0.5140066146850586,2.6080079078674316,2.162660598754883,0.46181410551071167
observed,78,14,place_in_slider,place_in_slider,4,2.804858684539795,1.7217025756835938,2.2142653465270996,0.6725491285324097,5.6129584312438965,3.738732099533081,6,1,0.03763842582702637,0.8595436811447144,3.738732099533081,2.4897074699401855,0.2683958411216736
observed,79,14,push_pink_block_right,push_pink_block_right,4,2.20631742477417,1.6349759101867676,1.4814488887786865,0.37766724824905396,4.223344802856445,2.0843560695648193,3,1,0.02029542438685894,0.6477867364883423,2.0843560695648193,0.7222558259963989,0.16838297247886658
